id_index,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10
1,0.042810458,0.03627451,0.000326797,0.261764706,0.075490196,0.461111111,0.000326797,0.03627451,0.039542484,0.046078431
2,0.000126904,0.040736041,0.002664975,0.020431472,0.001395939,0.030583756,0.000126904,0.868147208,0.000126904,0.035659898
3,0.110362694,0.014877868,0.020059215,0.054848261,0.58334567,0.111102887,0.007475944,0.019319023,7.40192E-05,0.078534419
4,0.073771389,0.017364704,0.19916932,0.15997314,0.053974333,0.038504775,0.179422006,0.038405292,0.184246916,0.055168126
5,0.064851485,0.04009901,0.00049505,0.02029703,0.114356436,0.168811881,0.02029703,0.470792079,0.00049505,0.09950495
6,0.160849057,0.033490566,0.000471698,0.519339623,0.000471698,0.085377358,0.000471698,0.104245283,0.000471698,0.094811321
7,0.151652893,0.015289256,0.004269972,0.091046832,0.059366391,0.534573003,0.000137741,0.023553719,0.044214876,0.075895317
8,0.317804154,0.003264095,0.000296736,0.130860534,0.23768546,0.139762611,0.000296736,0.01810089,0.000296736,0.151632047
9,0.030423642,0.564929962,0.016245302,0.084233003,0.032131876,0.147779296,0.006337547,0.080987359,1.70823E-05,0.03691493
10,0.589055973,0.081119465,8.35422E-05,0.044360902,0.019298246,0.144611529,0.00342523,0.055221387,0.045196324,0.017627402
11,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.944285714,0.001428571,0.015714286,0.03,0.001428571
12,0.037456243,0.0957993,0.000116686,0.107467911,0.080630105,0.563710618,0.017619603,0.05495916,0.000116686,0.042123687
13,0.571219512,0.039512195,0.000487805,0.024878049,0.05902439,0.249268293,0.000487805,0.054146341,0.000487805,0.000487805
14,0.044677168,0.042773066,0.211026484,0.076008309,0.043984767,0.110455254,1.731E-05,0.049004674,0.009710923,0.412342046
15,0.027828746,0.00030581,0.00030581,0.217431193,0.00030581,0.679204893,0.00030581,0.00030581,0.00030581,0.073700306
